Street,City,State,ZIP Code,Price,Beds,Baths,Square Feet,URL,Coordinates,Drive Time (mins),Distance (miles),Flood Zone
2746 Annette Dr,Marrero,LA,70072,199900,3,2.0,1481,https://www.redfin.com/LA/Marrero/2746-Annette-Dr-70072/home/79414042,"29.83467599835, -90.110577964275",23.1,13.4,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
805 Avenue A,Marrero,LA,70072,215000,3,2.5,1650,https://www.redfin.com/LA/Marrero/805-Avenue-A-70072/home/85130452,"29.897330012125, -90.09320596703",14.1,8.3,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
825 Matador Dr,Terrytown,LA,70056,210000,3,2.0,1380,https://www.redfin.com/LA/Gretna/825-Matador-Dr-70056/home/85177226,"29.89327899641, -90.020027006986",13.5,6.8,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
1245 Angus Dr,Harvey,LA,70058,79000,5,3.0,2025,https://www.redfin.com/LA/Harvey/1245-Angus-Dr-70058/home/85194652,"29.892548010635, -90.06963002033",13.2,7.1,X (0.2 PCT ANNUAL CHANCE FLOOD HAZARD)
2920 Surfwood Dr,Gretna,LA,70056,217000,3,2.0,1368,https://www.redfin.com/LA/Gretna/2920-Surfwood-Dr-70056/home/85116279,"29.876844012121, -90.025800964807",16.6,8.3,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
3061 Sorbonne Dr,Marrero,LA,70072,217000,4,2.0,1900,https://www.redfin.com/LA/Marrero/3061-Sorbonne-Dr-70072/home/79179704,"29.850420020451, -90.120279011373",21.4,12.3,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
208 Amapola Cir,Terrytown,LA,70056,190000,3,2.0,1879,https://www.redfin.com/LA/Terrytown/208-Amapola-Cir-70056/home/85219685,"29.917002003601, -90.032357038014",9.5,4.6,X (0.2 PCT ANNUAL CHANCE FLOOD HAZARD)
83 Oakland Ave,Harahan,LA,70123,155000,3,2.0,1653,https://www.redfin.com/LA/New-Orleans/83-Oakland-Ave-70123/home/85193197,"29.933667993142, -90.197048024366",18.2,9.3,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
4064 S Woodbine St,Harvey,LA,70058,130000,3,2.0,2026,https://www.redfin.com/LA/Harvey/4064-S-Woodbine-St-70058/home/85125749,"29.863240979548, -90.086146979633",20.1,10.7,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
3913 Civic St,Metairie,LA,70001,179000,3,2.0,1442,https://www.redfin.com/LA/Metairie/3913-Civic-St-70001/home/85162170,"29.980512983157, -90.17082800631",13.2,6.4,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
2800 Cardinal Dr,Marrero,LA,70072,220000,3,4.0,1350,https://www.redfin.com/LA/Marrero/2800-Cardinal-Dr-70072/home/79451769,"29.857914992542, -90.09349598088",19.6,11.1,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
213 Travis Dr,Westwego,LA,70094,183750,3,2.0,1217,https://www.redfin.com/LA/Westwego/213-Travis-Dr-70094/home/85229933,"29.913681009744, -90.218795039793",24.7,13.5,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
3105 Primwood Dr,Harvey,LA,70059,185000,4,2.0,1770,https://www.redfin.com/LA/Harvey/3105-Primwood-Dr-70058/home/85128827,"29.842337979862, -90.070153973098",21.9,11.6,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
146 Elodie Ave,Harahan,LA,70123,187900,3,2.0,1571,https://www.redfin.com/LA/New-Orleans/146-Elodie-Ave-70123/home/85193747,"29.938110988558, -90.193809005522",18.3,9.1,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
2114 Ninth St,Kenner,LA,70062,125000,4,2.0,1426,https://www.redfin.com/LA/Kenner/2114-9th-St-70062/home/85190044,"29.980636993414, -90.242722020598",20.9,13.7,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
5425 Tulip Ct,Marrero,LA,70072,160000,3,2.0,1426,https://www.redfin.com/LA/Marrero/5425-Tulip-Ct-70072/home/79448104,"29.845552020634, -90.129616032415",22.9,12.9,X (0.2 PCT ANNUAL CHANCE FLOOD HAZARD)
733 Morningside Dr,Terrytown,LA,70056,209000,4,2.5,1620,https://www.redfin.com/LA/Gretna/733-Morningside-Dr-70056/home/85117572,"29.897575979073, -90.020653973343",13.3,6.6,X (0.2 PCT ANNUAL CHANCE FLOOD HAZARD)
1638 Stafford St,Gretna,LA,70053,175000,3,2.0,1320,https://www.redfin.com/LA/Gretna/1638-Stafford-St-70053/home/79336003,"29.904796988659, -90.05852601028",10.9,5.8,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
2404 Timbers Dr,Harvey,LA,70058,219000,3,2.0,1487,https://www.redfin.com/LA/Harvey/2404-Timbers-Dr-70058/home/85223838,"29.863254013408, -90.079199974462",18.7,10.2,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
840 Morningside Dr,Gretna,LA,70056,185000,3,2.0,1410,https://www.redfin.com/LA/Gretna/840-Morningside-Dr-70056/home/85117331,"29.893077998372, -90.022231028426",14.1,7.0,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
117 Baylor Pl,Kenner,LA,70065,205000,3,2.0,1284,https://www.redfin.com/LA/Kenner/117-Baylor-Pl-70065/home/85191547,"30.008737994362, -90.27346902074",20.4,13.9,X (0.2 PCT ANNUAL CHANCE FLOOD HAZARD)
885 Oakwood Dr,Terrytown,LA,70056,145900,3,2.0,1457,https://www.redfin.com/LA/Gretna/885-Oakwood-Dr-70056/home/85119100,"29.891490004906, -90.022878027532",14.2,6.5,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
672 Wiegand Dr,Westwego,LA,70094,220000,4,2.0,1307,https://www.redfin.com/LA/Westwego/672-Wiegand-Dr-70094/home/85142248,"29.939401005367, -90.159792979322",20.3,10.1,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
2232 Kansas Ave,Kenner,LA,70062,175900,4,2.0,2400,https://www.redfin.com/LA/Kenner/2232-Kansas-Ave-70062/home/85186056,"29.996667006051, -90.235136984957",18.7,11.9,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
713 Lydia Ct,Marrero,LA,70072,199900,3,1.5,1422,https://www.redfin.com/LA/Marrero/713-Lydia-Ct-70072/home/85130461,"29.899744000239, -90.089985975106",14.5,7.9,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
80 Nassau Ave,Kenner,LA,70065,213750,3,2.0,2252,https://www.redfin.com/LA/Kenner/80-Nassau-Ave-70065/home/85181330,"30.027407007305, -90.235862019582",19.8,13.0,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
6735 W Magnolia Blvd,Harahan,LA,70123,219000,3,2.5,1524,https://www.redfin.com/LA/New-Orleans/6735-W-Magnolia-Blvd-70123/home/85192647,"29.933238001509, -90.195421013141",18.4,9.3,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
632 Fairlawn Dr,Terrytown,LA,70056,195000,2,1.5,1747,https://www.redfin.com/LA/Gretna/632-Fairlawn-Dr-70056/home/85118503,"29.905520011627, -90.036978987063",12.1,5.4,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
1208 Maine Ave,Kenner,LA,70062,130000,3,2.0,1244,https://www.redfin.com/LA/Kenner/1208-Maine-Ave-70062/home/79304365,"29.990917984392, -90.233288020936",19.6,12.2,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
136 Felicia Dr,Avondale,LA,70094,179900,4,2.0,1506,https://www.redfin.com/LA/Westwego/136-Felicia-Dr-70094/home/85229849,"29.91409000471, -90.203205035163",23.4,12.7,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
3148 Keithway Dr,Harvey,LA,70058,219500,4,2.0,2196,https://www.redfin.com/LA/Harvey/3148-Keith-Way-Dr-70058/home/85128782,"29.840178005323, -90.070703993584",22.3,11.9,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
1518 Ames Blvd,Marrero,LA,70072,154900,3,2.0,1353,https://www.redfin.com/LA/Marrero/1518-Ames-Blvd-70072/home/79190241,"29.887125003099, -90.114248986409",15.1,9.5,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
1915 Illinois Ave,Kenner,LA,70062,220000,3,2.0,1200,https://www.redfin.com/LA/Kenner/1915-Illinois-Ave-70062/home/85187085,"29.991146014068, -90.239069019556",20.0,13.0,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
625 W Niagara Cir,Terrytown,LA,70056,215000,3,2.5,1630,https://www.redfin.com/LA/Gretna/625-W-Niagara-Cir-70056/home/85116891,"29.901809007815, -90.017467006118",12.5,6.3,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
1805 Plaza Dr,Marrero,LA,70072,125000,3,2.5,2612,https://www.redfin.com/LA/Marrero/1805-Plaza-Dr-70072/home/85135501,"29.881119998117, -90.116052017601",16.9,10.0,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
9005 Camille Ct,River Ridge,LA,70123,199999,3,1.5,1745,https://www.redfin.com/LA/New-Orleans/9005-Camille-Ct-70123/home/85176318,"29.948832993372, -90.211675032141",20.9,10.5,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
2633 Max Dr,Harvey,LA,70058,75000,4,3.5,2800,https://www.redfin.com/LA/Harvey/2633-Max-Dr-70058/home/85128135,"29.866153020349, -90.075261988712",17.4,9.8,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
756 Mystic Ave,Gretna,LA,70056,180000,3,2.0,1512,https://www.redfin.com/LA/Gretna/756-Mystic-Ave-70056/home/85220691,"29.896538006094, -90.020238985317",13.4,6.6,X (0.2 PCT ANNUAL CHANCE FLOOD HAZARD)
341 Gerrie Ct,Avondale,LA,70094,169900,4,1.5,1249,https://www.redfin.com/LA/Westwego/341-Gerrie-Ct-70094/home/85143511,"29.914291002748, -90.199777004402",23.8,12.8,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
1677 Plaza Dr,Marrero,LA,70072,120000,3,2.5,1500,https://www.redfin.com/LA/Marrero/1677-Plaza-Dr-70072/home/85136014,"29.883762979826, -90.116039025651",16.2,9.8,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
2552 E Catawba Dr,Harvey,LA,70058,220000,3,2.0,1658,https://www.redfin.com/LA/Harvey/2552-E-Catawba-Dr-70058/home/79348482,"29.856747016244, -90.079242973625",20.1,10.8,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
405 Oak Ave,Harahan,LA,70123,199000,2,2.0,1326,https://www.redfin.com/LA/New-Orleans/405-Oak-Ave-70123/home/85194471,"29.94168000293, -90.197121030743",18.0,9.1,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
2108 Rue Racine,Marrero,LA,70072,180000,3,2.0,1400,https://www.redfin.com/LA/Marrero/2108-Rue-Racine-70072/home/85134440,"29.871727991789, -90.114235994459",18.0,10.7,X (0.2 PCT ANNUAL CHANCE FLOOD HAZARD)
3135 Mary Dr,Marrero,LA,70072,190000,3,2.0,1400,https://www.redfin.com/LA/Marrero/3135-Mary-Dr-70072/home/85137706,"29.84688901801, -90.120268031079",20.9,12.2,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
2781 Colony Ct,Marrero,LA,70072,189000,3,2.0,1400,https://www.redfin.com/LA/Marrero/2781-Colony-Ct-70072/home/85136891,"29.849397009168, -90.112905032054",20.3,11.8,X (AREA WITH REDUCED FLOOD RISK DUE TO LEVEE)
